CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Churn
13777.0,0,33,25977.16,4,4,4,444,Champions,0
12947.0,143,6,1603.99,1,4,3,143,At Risk,1
17460.0,94,6,622.43,2,4,2,242,At Risk,1
14142.0,373,1,311.81,1,1,2,112,Lost,1
17069.0,28,9,2709.7,3,4,4,344,Loyal Customers,0
13065.0,373,1,205.86,1,1,1,111,Lost,1
14606.0,1,93,12156.65,4,4,4,444,Champions,0
16835.0,128,2,180.85,2,2,1,221,Average,1
15235.0,217,12,2247.51,1,4,4,144,At Risk,1
13576.0,10,18,6717.34,4,4,4,444,Champions,0
13090.0,8,14,8910.82,4,4,4,444,Champions,0
15694.0,0,14,6479.4,4,4,4,444,Champions,0
14741.0,11,6,1400.34,4,4,3,443,Champions,0
13715.0,281,5,1079.34,1,3,3,133,At Risk,1
12855.0,372,1,38.1,1,1,1,111,Lost,1
15752.0,39,7,2637.38,3,4,4,344,Loyal Customers,1
14047.0,8,5,1308.61,4,3,3,433,Loyal Customers,0
13941.0,21,5,5112.96,3,3,4,334,Loyal Customers,0
17017.0,2,20,8694.26,4,4,4,444,Champions,0
14135.0,1,15,4690.31,4,4,4,444,Champions,0
13108.0,372,1,350.06,1,1,2,112,Lost,1
15601.0,11,14,6776.56,4,4,4,444,Champions,0
13418.0,11,18,6127.43,4,4,4,444,Champions,0
15658.0,190,5,1024.1,1,3,3,133,At Risk,1
14388.0,10,8,3212.84,4,4,4,444,Champions,0
14901.0,11,9,1421.29,4,4,3,443,Champions,0
15955.0,24,14,4416.26,3,4,4,344,Loyal Customers,0
15070.0,372,1,106.2,1,1,1,111,Lost,1
16244.0,211,2,1522.75,1,2,3,123,Lost,1
15111.0,29,3,1567.48,3,3,3,333,Loyal Customers,0
14390.0,10,9,4652.82,4,4,4,444,Champions,0
16546.0,290,2,787.15,1,2,3,123,Lost,1
15260.0,100,7,1810.77,2,4,4,244,At Risk,1
13305.0,4,10,2000.86,4,4,4,444,Champions,0
14491.0,175,2,340.93,1,2,2,122,Lost,1
14060.0,4,19,6140.42,4,4,4,444,Champions,0
15923.0,372,1,127.08,1,1,1,111,Lost,1
16752.0,372,1,207.5,1,1,1,111,Lost,1
17287.0,26,7,1064.11,3,4,3,343,Loyal Customers,0
15363.0,372,1,326.0,1,1,2,112,Lost,1
12915.0,148,2,363.65,1,2,2,122,Lost,1
15544.0,9,9,3546.71,4,4,4,444,Champions,0
15738.0,18,16,4812.42,3,4,4,344,Loyal Customers,0
17381.0,8,29,20275.61,4,4,4,444,Champions,0
15827.0,73,14,1836.09,2,4,4,244,At Risk,1
14180.0,10,25,4748.52,4,4,4,444,Champions,0
13117.0,21,8,984.91,3,4,3,343,Loyal Customers,0
16916.0,23,2,576.26,3,2,2,322,Average,0
14466.0,29,7,2272.4,3,4,4,344,Loyal Customers,0
17235.0,25,2,550.06,3,2,2,322,Average,0
16510.0,372,1,248.1,1,1,1,111,Lost,1
15107.0,311,6,319.5,1,4,2,142,At Risk,1
14449.0,18,4,907.1,3,3,3,333,Loyal Customers,0
16781.0,372,1,311.25,1,1,2,112,Lost,1
13491.0,51,10,1215.82,2,4,3,243,At Risk,1
16186.0,22,12,4006.94,3,4,4,344,Loyal Customers,0
17581.0,0,25,11045.04,4,4,4,444,Champions,0
15732.0,212,2,294.12,1,2,1,121,Lost,1
13138.0,22,6,962.39,3,4,3,343,Loyal Customers,0
15823.0,372,1,15.0,1,1,1,111,Lost,1
17567.0,7,8,4331.48,4,4,4,444,Champions,0
15061.0,3,48,54534.14,4,4,4,444,Champions,0
16203.0,58,4,592.9,2,3,2,232,At Risk,1
15640.0,4,15,12515.66,4,4,4,444,Champions,0
15574.0,177,4,702.25,1,3,3,133,At Risk,1
16770.0,57,5,770.1,2,3,3,233,At Risk,1
17228.0,15,8,1906.09,4,4,4,444,Champions,0
14829.0,29,4,697.55,3,3,3,333,Loyal Customers,0
17412.0,2,7,1258.06,4,4,3,443,Champions,0
14031.0,7,19,17286.86,4,4,4,444,Champions,0
14775.0,58,3,1011.9,2,3,3,233,At Risk,1
12971.0,3,86,11189.91,4,4,4,444,Champions,0
17659.0,17,12,2999.46,4,4,4,444,Champions,0
15299.0,67,7,4507.01,2,4,4,244,At Risk,1
15646.0,157,3,447.64,1,3,2,132,At Risk,1
13402.0,127,2,621.23,2,2,2,222,Average,1
13011.0,372,1,50.55,1,1,1,111,Lost,1
13798.0,1,57,37153.85,4,4,4,444,Champions,0
16754.0,372,1,2002.4,1,1,4,114,Lost,1
16634.0,222,2,217.9,1,2,1,121,Lost,1
14576.0,372,1,35.4,1,1,1,111,Lost,1
13145.0,39,4,618.52,3,3,2,332,Loyal Customers,1
14395.0,2,9,3507.71,4,4,4,444,Champions,0
14865.0,7,2,52.2,4,2,1,421,Average,0
15093.0,18,6,4597.02,3,4,4,344,Loyal Customers,0
12738.0,372,1,155.35,1,1,1,111,Lost,1
16150.0,42,5,2053.02,3,3,4,334,Loyal Customers,1
17552.0,60,4,930.41,2,3,3,233,At Risk,1
14236.0,80,2,490.86,2,2,2,222,Average,1
14573.0,179,9,1653.42,1,4,3,143,At Risk,1
17135.0,16,7,1139.73,4,4,3,443,Champions,0
17396.0,39,8,7330.8,3,4,4,344,Loyal Customers,1
12967.0,358,2,1660.9,1,2,3,123,Lost,1
12686.0,371,1,89.14,1,1,1,111,Lost,1
13370.0,371,1,754.87,1,1,3,113,Lost,1
16883.0,187,2,276.73,1,2,1,121,Lost,1
13520.0,58,6,3624.35,2,4,4,244,At Risk,1
12841.0,4,25,4022.35,4,4,4,444,Champions,0
16905.0,5,7,3102.43,4,4,4,444,Champions,0
12427.0,21,3,825.8,3,3,3,333,Loyal Customers,0
16891.0,1,5,809.7,4,3,3,433,Loyal Customers,0
14589.0,371,1,39.75,1,1,1,111,Lost,1
14156.0,9,55,117379.63,4,4,4,444,Champions,0
14680.0,25,16,28754.11,3,4,4,344,Loyal Customers,0
12557.0,16,5,11990.96,4,3,4,434,Loyal Customers,0
14083.0,4,9,1018.43,4,4,3,443,Champions,0
13013.0,1,13,4810.94,4,4,4,444,Champions,0
14210.0,105,6,1905.84,2,4,4,244,At Risk,1
16477.0,63,7,2494.46,2,4,4,244,At Risk,1
12600.0,28,10,2599.04,3,4,4,344,Loyal Customers,0
16013.0,3,47,37130.6,4,4,4,444,Champions,0
12779.0,37,8,3981.36,3,4,4,344,Loyal Customers,1
16926.0,371,1,230.25,1,1,1,111,Lost,1
12682.0,3,31,12288.22,4,4,4,444,Champions,0
14723.0,10,6,1158.3,4,4,3,443,Champions,0
12712.0,28,13,4396.13,3,4,4,344,Loyal Customers,0
15373.0,8,12,2415.91,4,4,4,444,Champions,0
16140.0,65,2,725.18,2,2,3,223,Average,1
17198.0,23,3,692.22,3,3,3,333,Loyal Customers,0
17238.0,2,17,3744.65,4,4,4,444,Champions,0
12793.0,334,2,545.48,1,2,2,122,Lost,1
15769.0,7,26,56252.72,4,4,4,444,Champions,0
14396.0,65,2,487.99,2,2,2,222,Average,1
14898.0,23,6,1303.52,3,4,3,343,Loyal Customers,0
12725.0,371,1,427.8,1,1,2,112,Lost,1
16725.0,302,7,781.02,1,4,3,143,At Risk,1
12395.0,19,12,3018.63,3,4,4,344,Loyal Customers,0
16455.0,63,7,1841.18,2,4,4,244,At Risk,1
13081.0,11,11,28337.38,4,4,4,444,Champions,0
15545.0,54,2,292.72,2,2,1,221,Average,1
17243.0,1,26,8676.85,4,4,4,444,Champions,0
15465.0,19,18,7354.62,3,4,4,344,Loyal Customers,0
13089.0,2,97,58825.83,4,4,4,444,Champions,0
16033.0,5,20,8816.4,4,4,4,444,Champions,0
13838.0,5,4,691.73,4,3,3,433,Loyal Customers,0
15038.0,58,6,705.49,2,4,3,243,At Risk,1
13069.0,0,24,4436.12,4,4,4,444,Champions,0
16241.0,9,13,2607.87,4,4,4,444,Champions,0
14800.0,47,12,4339.74,3,4,4,344,Loyal Customers,1
15708.0,40,7,3364.24,3,4,4,344,Loyal Customers,1
16839.0,8,34,16594.35,4,4,4,444,Champions,0
16168.0,10,27,3787.6,4,4,4,444,Champions,0
16931.0,5,21,4604.22,4,4,4,444,Champions,0
16814.0,14,21,6509.1,4,4,4,444,Champions,0
15351.0,12,7,1960.11,4,4,4,444,Champions,0
13269.0,1,15,5346.23,4,4,4,444,Champions,0
14813.0,369,2,155.43,1,2,1,121,Lost,1
12567.0,22,10,9401.28,3,4,4,344,Loyal Customers,0
17062.0,313,4,538.37,1,3,2,132,At Risk,1
15332.0,366,4,1661.06,1,3,3,133,At Risk,1
14810.0,40,11,2087.88,3,4,4,344,Loyal Customers,1
16353.0,3,23,6675.71,4,4,4,444,Champions,0
13831.0,16,6,2202.99,4,4,4,444,Champions,0
13506.0,316,2,458.52,1,2,2,122,Lost,1
15716.0,145,4,1118.81,1,3,3,133,At Risk,1
16983.0,12,7,1931.25,4,4,4,444,Champions,0
17059.0,29,5,3095.04,3,3,4,334,Loyal Customers,0
16327.0,14,6,3844.22,4,4,4,444,Champions,0
17211.0,26,8,2317.22,3,4,4,344,Loyal Customers,0
17026.0,185,2,154.83,1,2,1,121,Lost,1
15570.0,7,12,4165.52,4,4,4,444,Champions,0
15880.0,369,1,343.28,1,1,2,112,Lost,1
16718.0,369,1,623.75,1,1,2,112,Lost,1
15808.0,306,4,3734.97,1,3,4,134,At Risk,1
16393.0,2,13,3046.21,4,4,4,444,Champions,0
14527.0,2,55,8508.82,4,4,4,444,Champions,0
14161.0,215,3,1110.52,1,3,3,133,At Risk,1
16411.0,19,2,214.65,3,2,1,321,Average,0
16402.0,264,2,299.6,1,2,1,121,Lost,1
15023.0,3,11,6802.76,4,4,4,444,Champions,0
17402.0,4,13,2633.85,4,4,4,444,Champions,0
15426.0,19,5,1447.39,3,3,3,333,Loyal Customers,0
12647.0,22,12,3722.82,3,4,4,344,Loyal Customers,0
15894.0,253,2,263.55,1,2,1,121,Lost,1
15867.0,5,15,3812.64,4,4,4,444,Champions,0
12472.0,32,7,6572.11,3,4,4,344,Loyal Customers,1
14506.0,17,5,2012.17,4,3,4,434,Loyal Customers,0
15555.0,12,16,4805.17,4,4,4,444,Champions,0
13034.0,54,2,642.77,2,2,2,222,Average,1
15889.0,156,2,446.87,1,2,2,122,Lost,1
15953.0,15,8,1659.38,4,4,3,443,Champions,0
16143.0,3,6,2424.94,4,4,4,444,Champions,0
12720.0,2,25,5781.73,4,4,4,444,Champions,0
16422.0,17,51,34684.4,4,4,4,444,Champions,0
12747.0,2,11,4196.01,4,4,4,444,Champions,0
15502.0,15,12,10384.93,4,4,4,444,Champions,0
12763.0,138,2,494.08,2,2,2,222,Average,1
14081.0,302,2,934.52,1,2,3,123,Lost,1
14404.0,33,6,1474.32,3,4,3,343,Loyal Customers,1
13579.0,14,2,467.04,4,2,2,422,Average,0
13174.0,16,3,2817.03,4,3,4,434,Loyal Customers,0
15987.0,12,7,1451.28,4,4,3,443,Champions,0
17677.0,1,30,16363.23,4,4,4,444,Champions,0
13652.0,45,3,1095.08,3,3,3,333,Loyal Customers,1
17428.0,0,28,17256.85,4,4,4,444,Champions,0
16858.0,368,1,375.69,1,1,2,112,Lost,1
16161.0,1,19,5575.56,4,4,4,444,Champions,0
14293.0,3,4,1046.56,4,3,3,433,Loyal Customers,0
14748.0,29,5,1415.75,3,3,3,333,Loyal Customers,0
16638.0,22,10,1680.72,3,4,4,344,Loyal Customers,0
17674.0,74,2,551.04,2,2,2,222,Average,1
12808.0,36,3,483.65,3,3,2,332,Loyal Customers,1
13094.0,21,12,1927.32,3,4,4,344,Loyal Customers,0
15899.0,368,1,56.25,1,1,1,111,Lost,1
12708.0,29,10,2712.91,3,4,4,344,Loyal Customers,0
15898.0,1,5,1388.88,4,3,3,433,Loyal Customers,0
14443.0,53,4,1420.2,2,3,3,233,At Risk,1
17227.0,18,6,939.32,3,4,3,343,Loyal Customers,0
15039.0,9,47,19914.44,4,4,4,444,Champions,0
15919.0,19,2,639.89,3,2,2,322,Average,0
13497.0,282,2,348.05,1,2,2,122,Lost,1
15860.0,40,8,977.21,3,4,3,343,Loyal Customers,1
14189.0,2,15,4654.08,4,4,4,444,Champions,0
15304.0,60,8,694.4,2,4,3,243,At Risk,1
14344.0,127,8,889.93,2,4,3,243,At Risk,1
16719.0,14,7,1790.42,4,4,4,444,Champions,0
15048.0,65,4,384.05,2,3,2,232,At Risk,1
15301.0,50,12,5070.35,3,4,4,344,Loyal Customers,1
14708.0,2,3,1126.37,4,3,3,433,Loyal Customers,0
16898.0,26,3,508.81,3,3,2,332,Loyal Customers,0
14825.0,3,12,2226.91,4,4,4,444,Champions,0
17596.0,23,7,2827.93,3,4,4,344,Loyal Customers,0
15078.0,7,32,9743.11,4,4,4,444,Champions,0
14085.0,2,18,4448.54,4,4,4,444,Champions,0
13155.0,33,4,971.76,3,3,3,333,Loyal Customers,1
15028.0,8,4,627.13,4,3,2,432,Loyal Customers,0
16919.0,156,11,2596.45,1,4,4,144,At Risk,1
17259.0,148,2,603.37,1,2,2,122,Lost,1
17019.0,11,4,1272.61,4,3,3,433,Loyal Customers,0
16722.0,17,13,4730.81,4,4,4,444,Champions,0
15882.0,198,4,516.36,1,3,2,132,At Risk,1
14667.0,10,25,9241.2,4,4,4,444,Champions,0
16710.0,19,10,2483.04,3,4,4,344,Loyal Customers,0
15984.0,2,10,2837.67,4,4,4,444,Champions,0
14487.0,26,6,1196.33,3,4,3,343,Loyal Customers,0
16658.0,368,1,123.24,1,1,1,111,Lost,1
16550.0,108,5,2298.97,2,3,4,234,At Risk,1
17068.0,12,21,4552.14,4,4,4,444,Champions,0
15356.0,31,10,2766.5,3,4,4,344,Loyal Customers,1
17223.0,310,2,426.79,1,2,2,122,Lost,1
16817.0,2,9,1604.75,4,4,3,443,Champions,0
13030.0,11,2,799.48,4,2,3,423,Average,0
17191.0,28,7,2095.13,3,4,4,344,Loyal Customers,0
15194.0,3,15,7616.53,4,4,4,444,Champions,0
14409.0,71,6,2059.45,2,4,4,244,At Risk,1
16654.0,141,4,601.27,2,3,2,232,At Risk,1
13495.0,7,5,2044.87,4,3,4,434,Loyal Customers,0
17519.0,17,6,1844.02,4,4,4,444,Champions,0
17218.0,4,10,1960.72,4,4,4,444,Champions,0
14215.0,11,6,1789.72,4,4,4,444,Champions,0
15602.0,8,9,1297.87,4,4,3,443,Champions,0
17320.0,100,3,1200.62,2,3,3,233,At Risk,1
12913.0,4,5,2483.63,4,3,4,434,Loyal Customers,0
13564.0,144,3,1749.02,1,3,4,134,At Risk,1
13963.0,308,4,664.54,1,3,2,132,At Risk,1
17450.0,8,46,194550.79,4,4,4,444,Champions,0
17091.0,2,9,3827.76,4,4,4,444,Champions,0
17470.0,44,5,1125.07,3,3,3,333,Loyal Customers,1
17616.0,173,3,571.2,1,3,2,132,At Risk,1
15649.0,336,2,816.0,1,2,3,123,Lost,1
12681.0,14,22,13787.54,4,4,4,444,Champions,0
14907.0,3,7,3501.1,4,4,4,444,Champions,0
16059.0,65,6,1459.86,2,4,3,243,At Risk,1
15018.0,38,3,496.21,3,3,2,332,Loyal Customers,1
15838.0,11,19,33643.08,4,4,4,444,Champions,0
14733.0,16,12,9585.91,4,4,4,444,Champions,0
13756.0,2,14,5189.52,4,4,4,444,Champions,0
14176.0,297,4,576.9,1,3,2,132,At Risk,1
15353.0,254,2,777.02,1,2,3,123,Lost,1
17491.0,1,10,3558.87,4,4,4,444,Champions,0
14282.0,3,15,3729.34,4,4,4,444,Champions,0
13569.0,17,2,373.75,4,2,2,422,Average,0
14673.0,3,5,1736.4,4,3,4,434,Loyal Customers,0
13488.0,17,13,8968.31,4,4,4,444,Champions,0
16221.0,36,3,864.86,3,3,3,333,Loyal Customers,1
15002.0,115,4,1641.76,2,3,3,233,At Risk,1
15965.0,17,4,845.64,4,3,3,433,Loyal Customers,0
15024.0,9,10,1661.33,4,4,3,443,Champions,0
17675.0,1,31,20374.28,4,4,4,444,Champions,0
13769.0,2,10,2796.51,4,4,4,444,Champions,0
16904.0,4,16,3754.27,4,4,4,444,Champions,0
16086.0,59,5,1121.39,2,3,3,233,At Risk,1
13786.0,367,1,230.4,1,1,1,111,Lost,1
13880.0,21,13,3219.77,3,4,4,344,Loyal Customers,0
13173.0,4,2,353.65,4,2,2,422,Average,0
15858.0,15,5,1438.85,4,3,3,433,Loyal Customers,0
15180.0,367,1,87.5,1,1,1,111,Lost,1
12347.0,2,7,4310.0,4,4,4,444,Champions,0
14739.0,4,7,3902.28,4,4,4,444,Champions,0
16293.0,21,10,2248.99,3,4,4,344,Loyal Customers,0
17419.0,11,12,4226.57,4,4,4,444,Champions,0
16775.0,10,11,1695.66,4,4,4,444,Champions,0
16306.0,213,6,632.27,1,4,2,142,At Risk,1
16950.0,56,3,1178.56,2,3,3,233,At Risk,1
17591.0,73,7,2225.97,2,4,4,244,At Risk,1
12839.0,2,14,5591.42,4,4,4,444,Champions,0
13807.0,367,1,112.6,1,1,1,111,Lost,1
16125.0,367,1,289.35,1,1,1,111,Lost,1
15081.0,22,5,504.8,3,3,2,332,Loyal Customers,0
16365.0,17,9,1540.42,4,4,3,443,Champions,0
14821.0,366,1,48.8,1,1,1,111,Lost,1
16863.0,31,2,502.8,3,2,2,322,Average,1
13078.0,3,26,12627.94,4,4,4,444,Champions,0
13267.0,2,19,4521.49,4,4,4,444,Champions,0
13050.0,14,17,5836.86,4,4,4,444,Champions,0
12709.0,15,15,9736.52,4,4,4,444,Champions,0
15628.0,4,9,2870.24,4,4,4,444,Champions,0
12386.0,337,2,401.9,1,2,2,122,Lost,1
16779.0,2,22,10629.72,4,4,4,444,Champions,0
13599.0,1,21,5153.67,4,4,4,444,Champions,0
13329.0,31,2,789.0,3,2,3,323,Average,1
14744.0,16,7,1099.98,4,4,3,443,Champions,0
17406.0,333,3,2200.42,1,3,4,134,At Risk,1
15750.0,2,8,2465.48,4,4,4,444,Champions,0
13983.0,29,12,2603.43,3,4,4,344,Loyal Customers,0
13842.0,58,9,3385.62,2,4,4,244,At Risk,1
14796.0,1,17,8022.49,4,4,4,444,Champions,0
12441.0,366,1,173.55,1,1,1,111,Lost,1
13199.0,3,38,9817.12,4,4,4,444,Champions,0
14032.0,2,11,2975.59,4,4,4,444,Champions,0
16081.0,56,5,2806.9,2,3,4,234,At Risk,1
16525.0,2,26,13027.45,4,4,4,444,Champions,0
16122.0,73,4,684.42,2,3,3,233,At Risk,1
13126.0,4,8,2099.64,4,4,4,444,Champions,0
15973.0,366,1,307.82,1,1,2,112,Lost,1
16558.0,0,20,8338.49,4,4,4,444,Champions,0
16893.0,366,1,145.93,1,1,1,111,Lost,1
15021.0,8,9,1914.82,4,4,4,444,Champions,0
15529.0,22,11,3995.23,3,4,4,344,Loyal Customers,0
15498.0,2,27,13316.4,4,4,4,444,Champions,0
16016.0,3,8,1508.76,4,4,3,443,Champions,0
17324.0,17,4,990.23,4,3,3,433,Loyal Customers,0
17341.0,156,3,781.36,1,3,3,133,At Risk,1
14051.0,0,23,15610.39,4,4,4,444,Champions,0
16233.0,71,3,536.68,2,3,2,232,At Risk,1
16385.0,60,3,555.89,2,3,2,232,At Risk,1
15032.0,256,3,4959.1,1,3,4,134,At Risk,1
16713.0,18,15,6923.13,3,4,4,344,Loyal Customers,0
17213.0,40,7,2781.23,3,4,4,344,Loyal Customers,1
15916.0,16,8,1528.09,4,4,3,443,Champions,0
15221.0,366,1,403.25,1,1,2,112,Lost,1
13455.0,24,2,1058.34,3,2,3,323,Average,0
13113.0,0,24,12245.96,4,4,4,444,Champions,0
14217.0,1,17,2004.98,4,4,4,444,Champions,0
17262.0,52,5,1253.36,2,3,3,233,At Risk,1
17676.0,4,6,1387.68,4,4,3,443,Champions,0
16679.0,366,1,129.75,1,1,1,111,Lost,1
12766.0,3,7,6989.63,4,4,4,444,Champions,0
15298.0,2,12,4799.9,4,4,4,444,Champions,0
13523.0,33,5,3964.88,3,3,4,334,Loyal Customers,1
15005.0,15,28,6316.57,4,4,4,444,Champions,0
15581.0,120,13,3679.97,2,4,4,244,At Risk,1
15680.0,9,3,1333.68,4,3,3,433,Loyal Customers,0
13649.0,256,2,346.6,1,2,2,122,Lost,1
13270.0,366,1,590.0,1,1,2,112,Lost,1
14866.0,10,12,14389.9,4,4,4,444,Champions,0
13077.0,1,4,729.27,4,3,3,433,Loyal Customers,0
13531.0,205,2,483.8,1,2,2,122,Lost,1
13848.0,92,3,1255.0,2,3,3,233,At Risk,1
13140.0,108,3,423.72,2,3,2,232,At Risk,1
15713.0,143,2,356.7,1,2,2,122,Lost,1
15347.0,366,1,201.6,1,1,1,111,Lost,1
14766.0,8,6,2473.37,4,4,4,444,Champions,0
17340.0,29,11,12353.29,3,4,4,344,Loyal Customers,0
13984.0,26,5,920.51,3,3,3,333,Loyal Customers,0
15996.0,88,6,1060.68,2,4,3,243,At Risk,1
14030.0,18,8,2360.09,3,4,4,344,Loyal Customers,0
16596.0,15,2,250.15,4,2,1,421,Average,0
16700.0,8,13,5076.55,4,4,4,444,Champions,0
16011.0,8,16,3362.71,4,4,4,444,Champions,0
17655.0,10,7,2638.94,4,4,4,444,Champions,0
16717.0,23,6,3858.38,3,4,4,344,Loyal Customers,0
14243.0,8,10,2588.77,4,4,4,444,Champions,0
12963.0,8,8,1856.63,4,4,4,444,Champions,0
15079.0,212,4,895.61,1,3,3,133,At Risk,1
14437.0,365,1,63.0,1,1,1,111,Lost,1
12942.0,131,3,683.9,2,3,3,233,At Risk,1
15660.0,25,9,1600.86,3,4,3,343,Loyal Customers,0
15358.0,4,22,8347.2,4,4,4,444,Champions,0
13319.0,5,26,10845.55,4,4,4,444,Champions,0
12481.0,22,10,5596.32,3,4,4,344,Loyal Customers,0
12621.0,1,20,13689.67,4,4,4,444,Champions,0
14299.0,8,9,3965.62,4,4,4,444,Champions,0
12683.0,4,15,8476.57,4,4,4,444,Champions,0
12755.0,280,2,3811.95,1,2,4,124,Lost,1
13854.0,8,25,8109.52,4,4,4,444,Champions,0
12797.0,365,1,254.03,1,1,1,111,Lost,1
16782.0,10,13,2279.9,4,4,4,444,Champions,0
13369.0,365,1,308.28,1,1,2,112,Lost,1
12494.0,15,7,1246.1,4,4,3,443,Champions,0
14932.0,365,1,363.53,1,1,2,112,Lost,1
12429.0,9,4,3750.4,4,3,4,434,Loyal Customers,0
14987.0,15,2,326.4,4,2,2,422,Average,0
14355.0,365,1,174.4,1,1,1,111,Lost,1
17526.0,4,4,1195.9,4,3,3,433,Loyal Customers,0
14896.0,204,2,468.77,1,2,2,122,Lost,1
14440.0,8,5,2357.68,4,3,4,434,Loyal Customers,0
13240.0,96,4,663.65,2,3,2,232,At Risk,1
14479.0,253,2,316.25,1,2,2,122,Lost,1
16065.0,365,1,372.09,1,1,2,112,Lost,1
17430.0,32,2,265.76,3,2,1,321,Average,1
16520.0,186,3,1046.57,1,3,3,133,At Risk,1
15945.0,365,1,181.0,1,1,1,111,Lost,1
15856.0,4,27,16387.57,4,4,4,444,Champions,0
13102.0,1,24,6424.09,4,4,4,444,Champions,0
15271.0,7,15,2507.07,4,4,4,444,Champions,0
13982.0,39,4,1871.81,3,3,4,334,Loyal Customers,1
15288.0,43,5,2306.52,3,3,4,334,Loyal Customers,1
16795.0,365,1,414.88,1,1,2,112,Lost,1
16519.0,25,2,215.08,3,2,1,321,Average,0
16255.0,16,8,2619.91,4,4,4,444,Champions,0
17671.0,15,4,1572.71,4,3,3,433,Loyal Customers,0
17646.0,219,3,1008.39,1,3,3,133,At Risk,1
12872.0,326,2,599.97,1,2,2,122,Lost,1
17339.0,94,2,243.36,2,2,1,221,Average,1
17097.0,2,8,954.42,4,4,3,443,Champions,0
15192.0,119,3,1044.32,2,3,3,233,At Risk,1
